,name,team,position,total_points,minutes,goals_scored,assists,clean_sheets,saves,penalties_saved,penalties_missed,goals_conceded,own_goals,yellow_cards,red_cards,value,PV-ratio
186,Conor Gallagher,Chelsea,MID,35,858,1,1,4,0,0,0,8,0,5,1,57,0.6140350877192983
187,Nathaniel Clyne,Crystal Palace,DEF,34,1385,0,0,2,0,0,0,21,0,2,0,45,0.7555555555555555
188,Patrick Bamford,Leeds,FWD,34,734,1,3,0,0,0,1,12,0,0,0,72,0.4722222222222222
189,Vladimir Coufal,West Ham,DEF,34,1470,0,1,2,0,0,0,23,0,5,0,41,0.8292682926829268
190,Philippe Coutinho Correia,Aston Villa,MID,33,789,1,0,3,0,0,0,9,0,3,0,66,0.5
191,Kyle Walker,Man City,DEF,32,1062,0,0,3,0,0,0,12,0,2,0,48,0.6666666666666666
192,Stuart Armstrong,Southampton,MID,32,837,1,1,0,0,0,0,21,0,4,0,47,0.6808510638297872
193,Jordan Henderson,Liverpool,MID,32,1138,0,0,3,0,0,0,17,0,1,0,53,0.6037735849056604
194,Fábio Ferreira Vieira,Arsenal,MID,31,286,1,2,2,0,0,0,1,0,0,0,56,0.5535714285714286
195,Alexander Isak,Newcastle,FWD,31,436,3,0,1,0,0,0,5,0,0,0,66,0.4696969696969697
196,Clément Lenglet,Spurs,DEF,31,1101,0,2,2,0,0,0,23,0,3,0,48,0.6458333333333334
197,Chris Mepham,Bournemouth,DEF,30,1567,0,0,3,0,0,0,37,1,5,0,44,0.6818181818181818
198,Takehiro Tomiyasu,Arsenal,DEF,29,625,0,1,2,0,0,0,12,0,2,0,42,0.6904761904761905
199,Rasmus Kristensen,Leeds,DEF,29,1197,0,1,2,0,0,0,22,0,4,0,48,0.6041666666666666
200,Alejandro Garnacho,Man Utd,MID,29,441,2,2,0,0,0,0,7,0,2,0,42,0.6904761904761905
201,Neal Maupay,Everton,FWD,28,817,1,0,3,0,0,0,9,0,4,0,59,0.4745762711864407
202,Matty Cash,Aston Villa,DEF,28,1311,0,1,1,0,0,0,26,0,3,0,46,0.6086956521739131
203,Carlos Vinícius Alves Morais,Fulham,FWD,28,457,1,1,0,0,0,0,9,0,2,0,54,0.5185185185185185
204,Roméo Lavia,Southampton,MID,28,979,1,0,2,0,0,0,22,0,5,0,45,0.6222222222222222
205,Boubakary Soumaré,Leicester,MID,27,957,0,0,5,0,0,0,17,0,5,0,44,0.6136363636363636
206,Emerson Palmieri dos Santos,West Ham,DEF,27,688,1,0,1,0,0,0,11,0,1,0,40,0.675
207,Mateo Kovacic,Chelsea,MID,27,947,0,1,2,0,0,0,14,0,4,0,49,0.5510204081632653
208,Richarlison de Andrade,Spurs,FWD,27,561,0,3,1,0,0,0,11,0,2,0,84,0.32142857142857145
209,Sam Greenwood,Leeds,FWD,26,318,1,2,0,0,0,0,9,0,1,0,41,0.6341463414634146
210,Jean-Philippe Mateta,Crystal Palace,FWD,25,592,1,0,2,0,0,0,9,0,2,0,51,0.49019607843137253
211,James Milner,Liverpool,MID,25,577,0,1,2,0,0,0,7,0,1,0,44,0.5681818181818182
212,Armel Bella-Kotchap,Southampton,DEF,25,1207,0,1,1,0,0,0,24,0,2,0,45,0.5555555555555556
213,Orel Mangala,Nott'm Forest,MID,24,784,0,0,3,0,0,0,8,0,1,0,49,0.4897959183673469
214,Dennis Praet,Leicester,MID,24,384,1,1,2,0,0,0,6,0,1,0,48,0.5
215,Kieran Tierney,Arsenal,DEF,23,489,0,0,1,0,0,0,7,0,0,0,46,0.5
216,Anthony Elanga,Man Utd,MID,23,413,0,1,2,0,0,0,1,0,0,0,47,0.48936170212765956
217,Benoît Badiashile,Chelsea,DEF,23,450,0,0,3,0,0,0,2,0,1,0,50,0.46
218,Tariq Lamptey,Brighton,DEF,22,514,0,0,1,0,0,0,11,0,1,0,42,0.5238095238095238
219,Victor Lindelöf,Man Utd,DEF,21,538,0,0,2,0,0,0,9,0,0,0,41,0.5121951219512195
220,Cody Gakpo,Liverpool,MID,21,392,2,0,2,0,0,0,6,0,0,0,77,0.2727272727272727
221,Aaron Hickey,Brentford,DEF,21,815,0,1,2,0,0,0,16,0,4,0,49,0.42857142857142855
222,Harry Wilson,Fulham,MID,21,404,0,1,1,0,0,0,4,0,1,0,57,0.3684210526315789
223,Aymeric Laporte,Man City,DEF,21,555,0,0,2,0,0,0,7,0,0,0,57,0.3684210526315789
224,Ben Johnson,West Ham,DEF,20,560,0,0,1,0,0,0,5,0,0,0,44,0.45454545454545453
225,Nampalys Mendy,Leicester,MID,20,471,1,0,0,0,0,0,7,0,1,0,43,0.46511627906976744
226,Harry Toffolo,Nott'm Forest,DEF,20,621,0,0,1,0,0,0,9,0,0,0,43,0.46511627906976744
227,Ainsley Maitland-Niles,Southampton,MID,20,809,0,0,2,0,0,0,14,0,3,0,48,0.4166666666666667
228,Scott McTominay,Man Utd,MID,19,778,0,0,2,0,0,0,14,0,5,0,49,0.3877551020408163
229,Sékou Mara,Southampton,FWD,19,349,0,1,0,0,0,0,5,0,1,0,53,0.3584905660377358
230,Shandon Baptiste,Brentford,MID,19,429,0,1,1,0,0,0,6,0,1,0,45,0.4222222222222222
231,Jack Stephens,Bournemouth,DEF,18,362,0,0,2,0,0,0,3,0,1,0,43,0.4186046511627907
232,Angelo Ogbonna,West Ham,DEF,18,645,0,0,1,0,0,0,10,0,0,0,44,0.4090909090909091
233,Leander Dendoncker,Aston Villa,MID,17,355,0,0,1,0,0,0,8,0,0,0,47,0.3617021276595745
234,Ibrahima Diallo,Southampton,MID,17,715,0,0,0,0,0,0,15,0,2,0,42,0.40476190476190477
235,Stefan Bajcetic,Liverpool,MID,17,343,1,0,2,0,0,0,3,0,1,0,44,0.38636363636363635
236,Abdoulaye Doucouré,Everton,MID,17,493,0,0,2,0,0,0,6,0,3,0,53,0.32075471698113206
237,Craig Dawson,Wolves,DEF,17,270,1,0,1,0,0,0,2,0,1,0,48,0.3541666666666667
238,Manor Solomon,Fulham,MID,16,82,2,0,0,0,0,0,1,0,0,0,49,0.32653061224489793
239,Flynn Downes,West Ham,MID,16,377,0,0,1,0,0,0,4,0,0,0,42,0.38095238095238093
240,Lyanco Silveira Neves Vojnovic,Southampton,DEF,16,782,0,0,0,0,0,0,13,0,4,0,44,0.36363636363636365
241,Dango Ouattara,Bournemouth,MID,15,315,0,2,0,0,0,0,3,0,0,0,50,0.3
242,Keylor Navas,Nott'm Forest,GK,14,270,0,0,1,10,0,0,3,0,0,0,45,0.3111111111111111
243,Keane Lewis-Potter,Brentford,MID,14,313,0,1,0,0,0,0,4,0,0,0,52,0.2692307692307692
244,Chris Wood,Nott'm Forest,FWD,14,219,1,0,1,0,0,0,2,0,0,0,56,0.25
245,Tom Davies,Everton,MID,14,448,0,0,1,0,0,0,7,0,2,0,49,0.2857142857142857
