,name,team,position,total_points,minutes,goals_scored,assists,clean_sheets,saves,penalties_saved,penalties_missed,goals_conceded,own_goals,yellow_cards,red_cards,value,PV-ratio
57,Ben Davies,Spurs,DEF,79,1618,2,3,7,0,0,0,24,0,3,0,48,1.6458333333333333
58,Danny Ward,Leicester,GK,79,2160,0,0,6,74,0,0,43,0,0,0,40,1.975
59,Brennan Johnson,Nott'm Forest,FWD,78,1966,5,3,6,0,0,1,33,0,4,0,57,1.368421052631579
60,Kaoru Mitoma,Brighton,MID,78,1104,6,3,3,0,0,0,17,0,0,0,54,1.4444444444444444
61,Rodrigo Hernandez,Man City,MID,78,2093,2,4,7,0,0,0,22,0,3,0,56,1.3928571428571428
62,Andrew Robertson,Liverpool,DEF,77,1561,0,5,5,0,0,0,21,0,1,0,68,1.1323529411764706
63,Timothy Castagne,Leicester,DEF,77,2001,1,3,7,0,0,0,38,0,2,0,44,1.75
64,Leon Bailey,Aston Villa,MID,77,1463,4,3,6,0,0,0,29,0,4,0,44,1.75
65,Emiliano Buendía Stati,Aston Villa,MID,76,1420,4,1,5,0,0,0,28,0,0,0,57,1.3333333333333333
66,Jordan Pickford,Everton,GK,76,2070,0,1,5,81,0,0,31,0,5,0,44,1.7272727272727273
67,Eric Dier,Spurs,DEF,76,2004,2,0,8,0,0,0,31,0,2,0,51,1.4901960784313726
68,Kiernan Dewsbury-Hall,Leicester,MID,76,1686,3,3,6,0,0,0,30,0,2,0,49,1.5510204081632653
69,Rico Henry,Brentford,DEF,76,2051,0,2,8,0,0,0,30,0,0,0,45,1.6888888888888889
70,Ilkay Gündogan,Man City,MID,75,1522,3,4,6,0,0,0,15,0,0,0,73,1.0273972602739727
71,Bobby De Cordova-Reid,Fulham,MID,75,1973,4,1,8,0,0,0,28,0,7,0,55,1.3636363636363635
72,João Palhinha Gonçalves,Fulham,MID,75,2135,4,0,8,0,0,0,27,0,9,0,49,1.530612244897959
73,Jack Grealish,Man City,MID,74,1357,3,6,5,0,0,0,13,0,2,0,68,1.088235294117647
74,Philip Billing,Bournemouth,MID,73,1682,4,1,6,0,0,0,33,0,3,0,51,1.4313725490196079
75,Ivan Perišić,Spurs,DEF,72,1512,0,5,6,0,0,0,25,0,4,0,55,1.309090909090909
76,Daniel Castelo Podence,Wolves,MID,72,1416,5,1,4,0,0,0,24,0,4,0,53,1.3584905660377358
77,Raheem Sterling,Chelsea,MID,72,1257,5,2,4,0,0,0,15,0,3,0,97,0.7422680412371134
78,Sean Longstaff,Newcastle,MID,72,1862,1,4,11,0,0,0,11,0,2,0,43,1.6744186046511629
79,Willian Borges da Silva,Fulham,MID,72,1384,3,3,8,0,0,0,10,0,1,0,55,1.309090909090909
80,Callum Wilson,Newcastle,FWD,71,1179,7,4,9,0,0,0,6,0,4,0,70,1.0142857142857142
81,Roberto Firmino,Liverpool,FWD,71,969,7,3,3,0,0,0,13,0,0,0,80,0.8875
82,James Tarkowski,Everton,DEF,71,2160,1,0,6,0,0,0,31,0,5,0,43,1.6511627906976745
83,Max Kilman,Wolves,DEF,71,2160,0,1,6,0,0,0,33,0,3,0,44,1.6136363636363635
84,Conor Coady,Everton,DEF,71,1970,1,1,6,0,0,0,27,0,2,0,49,1.4489795918367347
85,Kai Havertz,Chelsea,FWD,70,1705,5,1,7,0,0,0,19,0,3,0,77,0.9090909090909091
86,Marcus Tavernier,Bournemouth,MID,70,1366,3,4,4,0,0,0,31,0,1,0,47,1.4893617021276595
87,Alexis Mac Allister,Brighton,MID,70,1636,5,0,5,0,0,0,24,1,6,0,54,1.2962962962962963
88,Darwin Núñez Ribeiro,Liverpool,FWD,70,1202,6,5,2,0,0,0,18,0,1,1,87,0.8045977011494253
89,Dominic Solanke,Bournemouth,FWD,70,1615,3,6,5,0,0,0,27,0,2,0,55,1.2727272727272727
90,Yoane Wissa,Brentford,MID,69,1021,4,3,4,0,0,0,11,0,2,0,53,1.3018867924528301
91,Jack Harrison,Leeds,MID,69,1547,1,5,6,0,0,0,21,0,2,0,58,1.1896551724137931
92,Harrison Reed,Fulham,MID,69,1970,2,1,8,0,0,0,28,0,5,0,44,1.5681818181818181
93,Gavin Bazunu,Southampton,GK,68,2160,0,0,2,53,2,0,42,0,0,0,45,1.511111111111111
94,Declan Rice,West Ham,MID,68,2160,1,3,4,0,0,1,31,0,3,0,47,1.446808510638298
95,Emerson Leite de Souza Junior,Spurs,DEF,68,1292,2,2,5,0,0,0,20,0,1,1,49,1.3877551020408163
96,Diogo Dalot Teixeira,Man Utd,DEF,68,1429,0,2,7,0,0,0,21,0,5,0,47,1.446808510638298
97,Youri Tielemans,Leicester,MID,67,1708,3,2,5,0,0,1,34,0,3,0,61,1.098360655737705
98,Joelinton Cássio Apolinário de Lira,Newcastle,MID,66,1849,2,3,12,0,0,0,12,0,9,0,59,1.11864406779661
99,Josh Dasilva,Brentford,MID,66,1118,4,2,6,0,0,0,12,0,1,0,41,1.6097560975609757
100,Virgil van Dijk,Liverpool,DEF,66,1665,2,0,5,0,0,0,22,0,1,0,65,1.0153846153846153
101,Lewis Dunk,Brighton,DEF,65,2070,0,2,6,0,0,0,33,1,2,0,47,1.3829787234042554
102,Kenny Tete,Fulham,DEF,65,1597,0,5,6,0,0,0,17,0,6,0,44,1.4772727272727273
103,Dejan Kulusevski,Spurs,MID,65,1221,2,5,5,0,0,0,21,0,0,0,79,0.8227848101265823
104,Vitaly Janelt,Brentford,MID,64,1459,3,1,4,0,0,0,22,0,1,0,55,1.1636363636363636
105,Antonee Robinson,Fulham,DEF,64,1918,0,0,8,0,0,0,22,0,6,0,44,1.4545454545454546
106,Serge Aurier,Nott'm Forest,DEF,64,1250,2,0,5,0,0,0,17,0,2,0,45,1.4222222222222223
107,Pervis Estupiñán,Brighton,DEF,64,1410,0,5,4,0,0,0,26,0,3,0,47,1.3617021276595744
108,Joseph Gomez,Liverpool,DEF,63,1285,0,0,7,0,0,0,12,0,3,0,43,1.4651162790697674
109,Jordan Ayew,Crystal Palace,MID,63,1656,2,1,5,0,0,0,27,0,2,0,53,1.1886792452830188
110,Emiliano Martínez Romero,Aston Villa,GK,62,1834,0,0,4,57,1,0,31,1,4,0,49,1.2653061224489797
111,Oleksandr Zinchenko,Arsenal,DEF,62,1320,1,1,6,0,0,0,14,0,2,0,51,1.2156862745098038
112,Vitalii Mykolenko,Everton,DEF,61,2048,0,1,6,0,0,0,30,0,3,0,43,1.4186046511627908
113,Joël Veltman,Brighton,DEF,61,1460,0,1,6,0,0,0,18,0,2,0,46,1.326086956521739
114,Issa Diop,Fulham,DEF,61,1324,1,0,6,0,0,0,14,0,2,0,43,1.4186046511627908
115,Tyrone Mings,Aston Villa,DEF,60,1890,0,2,6,0,0,0,32,1,5,0,43,1.3953488372093024
116,Eddie Nketiah,Arsenal,FWD,60,1041,5,1,2,0,0,0,15,0,2,0,68,0.8823529411764706
117,Brenden Aaronson,Leeds,MID,60,1732,1,3,5,0,0,0,36,0,2,0,54,1.1111111111111112
118,Lisandro Martínez,Man Utd,DEF,59,1686,1,0,6,0,0,0,27,0,4,0,45,1.3111111111111111
119,Jefferson Lerma Solís,Bournemouth,MID,58,2108,2,0,4,0,0,0,45,1,3,0,48,1.2083333333333333
120,Crysencio Summerville,Leeds,MID,57,834,4,3,1,0,0,0,21,0,2,0,42,1.3571428571428572
121,Jacob Ramsey,Aston Villa,MID,57,1338,2,3,4,0,0,0,25,1,4,0,52,1.0961538461538463
122,Tomas Soucek,West Ham,MID,56,1749,1,1,3,0,0,0,24,0,1,0,51,1.0980392156862746
123,Amadou Onana,Everton,MID,55,1724,1,2,7,0,0,0,23,0,7,0,48,1.1458333333333333
124,Jeffrey Schlupp,Crystal Palace,MID,55,1808,1,1,7,0,0,0,25,0,5,0,47,1.1702127659574468
125,Jadon Sancho,Man Utd,MID,55,850,4,1,6,0,0,0,12,0,0,0,71,0.7746478873239436
126,Ezri Konsa Ngoyo,Aston Villa,DEF,55,2053,0,0,6,0,0,0,37,0,5,0,44,1.25
127,Ethan Pinnock,Brentford,DEF,55,1440,0,0,7,0,0,0,18,1,0,0,44,1.25
128,Saïd Benrahma,West Ham,MID,55,1293,3,1,2,0,0,0,21,0,0,0,55,1.0
129,Jamie Vardy,Leicester,FWD,54,1256,1,4,3,0,0,0,22,0,1,0,91,0.5934065934065934
130,Marc Guéhi,Crystal Palace,DEF,54,2070,0,0,6,0,0,0,28,1,7,0,44,1.2272727272727273
